credit.policy,int.rate,installment,log.annual.inc,dti,fico,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,cr_line_years,pub_rec_flag,inquiry_rate,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,-0.13931752502625636,2.4630994696844417,0.6803880351133867,0.9985052879745594,0.6888248849370788,0.1827036881343611,-0.7169889396237944,-0.2997300842604626,-0.23700317531654236,0,0.4322297040729267,0,-0.345805629498555,False,True,False,False,False,False
1,-0.5788683747896028,-0.4388544264934084,0.24403079515485782,0.24454045358057955,-0.10130262978475811,1.0306023146220766,-0.7169889396237944,-0.2997300842604626,-0.23700317531654236,0,-0.7212300455000309,0,-0.345805629498555,True,False,False,False,False,False
1,0.48648368480630383,0.2307083616940786,-0.9086589710192416,-0.14188468312230768,-0.7597422253862889,-0.730683043651186,-0.26247043649872304,-0.2997300842604626,-0.23700317531654236,0,0.05976962588211311,0,-0.2140416839106538,False,True,False,False,False,False
1,-0.8135438284768132,-0.7570223180527825,0.6803880351133867,-0.6546969885964404,0.03038528933554805,0.9099663311787024,-0.26247043649872304,-0.2997300842604626,-0.23700317531654236,0,-0.745277492780152,0,-0.11594719941328802,False,True,False,False,False,False
1,0.7435091817018206,-1.0439915972947074,0.5979614012411698,0.34332582687304725,-1.1548059827472075,-0.25158585226178587,-0.7169889396237944,1.5311466676825929,-0.23700317531654236,0,-0.19816052199998968,0,-0.345805629498555,True,False,False,False,False,False
1,-1.6330454127813574,-0.9367282568039106,1.582434976680963,0.6353237685169584,0.42544904669646655,0.1447895219093006,-0.7169889396237944,-0.2997300842604626,-0.23700317531654236,0,0.6245091533498729,0,-0.345805629498555,True,False,False,False,False,False
1,1.0042596857987212,-0.6040235505269632,-0.3541090076012163,-1.250314680506906,-1.1548059827472075,1.034049057006173,-0.7169889396237944,-0.2997300842604626,3.5781504602831933,1,-0.5529980435032062,1,-0.345805629498555,False,True,False,False,False,False
1,-0.4186930651300784,-0.9073165619102161,0.11383361134945279,-0.22178461740297997,0.2937611275761604,0.7514161815102676,-0.7169889396237944,-0.2997300842604626,-0.23700317531654236,1,0.22237776259039566,0,-0.345805629498555,False,False,False,False,False,False
1,-0.3441929211023925,-1.1199597353370414,0.7733616989585336,0.6745473726183793,-0.7597422253862889,0.14823626429339706,-0.26247043649872304,-0.2997300842604626,-0.23700317531654236,0,-0.22899999620328482,0,-0.19022573886957164,False,False,False,True,False,False
1,-0.020117294581959256,-1.1347863204476558,-1.185016137577467,-0.37867903380866363,-0.10130262978475811,-0.8202983456376925,-0.26247043649872304,-0.2997300842604626,-0.23700317531654236,0,-0.7332287368990857,0,-0.11848009406048558,False,True,False,False,False,False
1,0.4492336127924609,0.19965463457314997,-0.8100471824719421,1.3776667942882947,-0.8914301445065951,0.8341379987285814,0.19204806662634832,-0.2997300842604626,3.5781504602831933,0,0.8620131559804426,1,-0.16090935907324155,False,True,False,False,False,False
1,0.3635584471606223,-0.3163781403679419,1.4686405861487464,-0.5007080243464175,-1.2864939018675137,-0.98574198007432,0.19204806662634832,1.5311466676825929,-0.23700317531654236,0,-0.10524158673811405,0,-0.05701633972702664,False,True,False,False,False,False
1,-1.3685699014830723,-0.014389095753374949,0.0016100574911165914,0.4188675829202282,1.4789523996589158,-1.037443115835766,-0.7169889396237944,-0.2997300842604626,-0.23700317531654236,0,0.7846808378248685,0,-0.345805629498555,False,True,False,False,False,False
